="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="eml",="6935",=".006633",=".0811787",="0",="1"
="fis_i",="6935",="1.418092",="1.334314",="0",="9"
="pblack",="6935",="3.606263",="9.893481",="0",="100"
="medhinc_ln",="6935",="3.885421",=".2866275",="2.848797",="5.042617"
="pwhite",="6935",="91.78387",="11.36542",="0",="100"
="N",="6935",="",="",="",=""
